a.user,a.choice,b.user,b.choice,end
moovlin,Peace,kmrst,Peace,Both /u/moovlin and /u/kmrst live together in an uneasy peace.
arthuresque,Nuke,dragonheart000,Peace,"/u/arthuresque strikes first, but with /u/dragonheart000's Second Strike protocol, both get annihilated."
krtkneki,Peace,a5yl,Peace,Both /u/krtkneki and /u/a5yl live together in an uneasy peace.
thatwriterfriend,Peace,mrpilotgamer,Peace,Both /u/thatwriterfriend and /u/mrpilotgamer live together in an uneasy peace.
aido46,Peace,no,Peace,Both /u/aido46 and /u/no live together in an uneasy peace.
apoptopsicle,Peace,yourmomisawhorehole,Peace,Both /u/apoptopsicle and /u/yourmomisawhorehole live together in an uneasy peace.
dagsaroni,Peace,dinomannitro6,Peace,Both /u/dagsaroni and /u/dinomannitro6 live together in an uneasy peace.
endemiclegacy,Peace,venerablecow,Peace,Both /u/endemiclegacy and /u/venerablecow live together in an uneasy peace.
mrballoon_hands,Peace,ravistay,Peace,Both /u/mrballoon_hands and /u/ravistay live together in an uneasy peace.
xaplostras,Peace,zackattackz,Peace,Both /u/xaplostras and /u/zackattackz live together in an uneasy peace.
aloneapart,Peace,imsomature69,Peace,Both /u/aloneapart and /u/imsomature69 live together in an uneasy peace.
makingitpurple,Peace,punkterminator,Peace,Both /u/makingitpurple and /u/punkterminator live together in an uneasy peace.
zangler,Peace,eyebrowsforeveryone,Nuke,"/u/eyebrowsforeveryone strikes first, but with /u/zangler's Second Strike protocol, both get annihilated."
hellsing73,Peace,summertime214,Peace,Both /u/hellsing73 and /u/summertime214 live together in an uneasy peace.
dalibar,Peace,seanbckb,Nuke,"/u/seanbckb strikes first, but with /u/dalibar's Second Strike protocol, both get annihilated."
backdoor_sliders,Peace,chthonicirrigation,Peace,Both /u/backdoor_sliders and /u/chthonicirrigation live together in an uneasy peace.
aspiringinsomniac,Peace,33yor3,Peace,Both /u/aspiringinsomniac and /u/33yor3 live together in an uneasy peace.
akmusher,Peace,thegeneralx,Peace,Both /u/akmusher and /u/thegeneralx live together in an uneasy peace.
itsbentheboy,Peace,xor50,Nuke,"/u/xor50 strikes first, but with /u/itsbentheboy's Second Strike protocol, both get annihilated."
ruschnav,Peace,crappylaptop,Peace,Both /u/ruschnav and /u/crappylaptop live together in an uneasy peace.
apflamous,Peace,hunter5226,Peace,Both /u/apflamous and /u/hunter5226 live together in an uneasy peace.
pablothemexican7,Peace,dwightallright,Nuke,"/u/dwightallright strikes first, but with /u/pablothemexican7's Second Strike protocol, both get annihilated."
grosscoconuts,Peace,awsumpizzadude,Peace,Both /u/grosscoconuts and /u/awsumpizzadude live together in an uneasy peace.
usespython,Peace,mm1491,Peace,Both /u/usespython and /u/mm1491 live together in an uneasy peace.
newme274,Peace,hypergraphia,Peace,Both /u/newme274 and /u/hypergraphia live together in an uneasy peace.
billymahs,Nuke,telepac,Peace,"/u/billymahs strikes first, but with /u/telepac's Second Strike protocol, both get annihilated."
tashalovessharks,Peace,_eggpiant_,Peace,Both /u/tashalovessharks and /u/_eggpiant_ live together in an uneasy peace.
internetadventurer,Peace,imlikesocool,Peace,Both /u/internetadventurer and /u/imlikesocool live together in an uneasy peace.
anymonous,Peace,tkaish,Peace,Both /u/anymonous and /u/tkaish live together in an uneasy peace.
graviton_beam,Peace,incrediblestrawberry,Nuke,"/u/incrediblestrawberry strikes first, but with /u/graviton_beam's Second Strike protocol, both get annihilated."
hushsquared,Peace,vanarn,Peace,Both /u/hushsquared and /u/vanarn live together in an uneasy peace.
victoriousyoungtriad,Peace,spfifle,Peace,Both /u/victoriousyoungtriad and /u/spfifle live together in an uneasy peace.
mistressliliana,Peace,zantary,Peace,Both /u/mistressliliana and /u/zantary live together in an uneasy peace.
pm_meyourcoffee,Peace,flyingmonkeyssaymoo,Peace,Both /u/pm_meyourcoffee and /u/flyingmonkeyssaymoo live together in an uneasy peace.
samjam2098,Peace,auramgold,Peace,Both /u/samjam2098 and /u/auramgold live together in an uneasy peace.
p0tet,Peace,fallon758,Peace,Both /u/p0tet and /u/fallon758 live together in an uneasy peace.
enjoyslongwalks,Peace,legosp7,Peace,Both /u/enjoyslongwalks and /u/legosp7 live together in an uneasy peace.
altoidian,Peace,throwaway133379001,Peace,Both /u/altoidian and /u/throwaway133379001 live together in an uneasy peace.
thatyahoo,Peace,pohtahtohg,Nuke,"/u/pohtahtohg strikes first, but with /u/thatyahoo's Second Strike protocol, both get annihilated."
twa7,Peace,blooor,Peace,Both /u/twa7 and /u/blooor live together in an uneasy peace.
dukecounter,Peace,redmanb,Nuke,"/u/redmanb strikes first, but with /u/dukecounter's Second Strike protocol, both get annihilated."
steaknsteak,Peace,femma,Peace,Both /u/steaknsteak and /u/femma live together in an uneasy peace.
quiethi,Peace,twitchy775,Peace,Both /u/quiethi and /u/twitchy775 live together in an uneasy peace.
ninkendo,Peace,the_kazaakplethkilik,Peace,Both /u/ninkendo and /u/the_kazaakplethkilik live together in an uneasy peace.
joejoemojo,Peace,aberger,Peace,Both /u/joejoemojo and /u/aberger live together in an uneasy peace.
zonination,Peace,moithirteen,Peace,Both /u/zonination and /u/moithirteen live together in an uneasy peace.
thomas6785,Peace,noobhunter777,Peace,Both /u/thomas6785 and /u/noobhunter777 live together in an uneasy peace.
henricy,Peace,albertr7,Peace,Both /u/henricy and /u/albertr7 live together in an uneasy peace.
bear_cop,Peace,pm_me_silly_secrets,Peace,Both /u/bear_cop and /u/pm_me_silly_secrets live together in an uneasy peace.
davidthewalkerx,Peace,caninuswhitus,Peace,Both /u/davidthewalkerx and /u/caninuswhitus live together in an uneasy peace.
evilsalmon,Peace,dottydani,Peace,Both /u/evilsalmon and /u/dottydani live together in an uneasy peace.
mr_yogurt,Peace,thesugarbowl,Peace,Both /u/mr_yogurt and /u/thesugarbowl live together in an uneasy peace.
smathering,Peace,cyberrubyfox,Peace,Both /u/smathering and /u/cyberrubyfox live together in an uneasy peace.
pepsilover1,Peace,sircutry,Peace,Both /u/pepsilover1 and /u/sircutry live together in an uneasy peace.
onesixtyseven,Peace,onlytoask,Peace,Both /u/onesixtyseven and /u/onlytoask live together in an uneasy peace.
pricelesshats,Peace,mentos68,Peace,Both /u/pricelesshats and /u/mentos68 live together in an uneasy peace.
cloneman95,Nuke,kelsig,Peace,"/u/cloneman95 strikes first, but with /u/kelsig's Second Strike protocol, both get annihilated."
nosdarb,Peace,strattonschippers,Peace,Both /u/nosdarb and /u/strattonschippers live together in an uneasy peace.
rara623,Peace,aguirre1pol,Peace,Both /u/rara623 and /u/aguirre1pol live together in an uneasy peace.
orthanit,Peace,schemindemon,Peace,Both /u/orthanit and /u/schemindemon live together in an uneasy peace.
pili_in_ibiza,Peace,gintarazimu,Peace,Both /u/pili_in_ibiza and /u/gintarazimu live together in an uneasy peace.
redtheta,Peace,seriyes,Peace,Both /u/redtheta and /u/seriyes live together in an uneasy peace.
