a.user,a.choice,b.user,b.choice,end
azurefishnets,SHARE,emcee_squared,SHARE,Both /u/azurefishnets and /u/emcee_squared share $500 for trusting one another.
beveridgecurve101,SHARE,natevh1,SHARE,Both /u/beveridgecurve101 and /u/natevh1 share $500 for trusting one another.
pili_in_ibiza,STEAL,crappylaptop,SHARE,"/u/pili_in_ibiza wins $1000 for stealing from /u/crappylaptop, who gets nothing."
finbarwrong,STEAL,perntdoast,SHARE,"/u/finbarwrong wins $1000 for stealing from /u/perntdoast, who gets nothing."
nowayamigoingtoactuallyputithere2627,SHARE,k_sfordays,SHARE,Both /u/nowayamigoingtoactuallyputithere2627 and /u/k_sfordays share $500 for trusting one another.
a5yl,SHARE,tridentboy,STEAL,"/u/tridentboy wins $1000 for stealing from /u/a5yl, who gets nothing."
brownsparrow,SHARE,arctem,SHARE,Both /u/brownsparrow and /u/arctem share $500 for trusting one another.
spectral-k,SHARE,onesixtyseven,SHARE,Both /u/spectral-k and /u/onesixtyseven share $500 for trusting one another.
hflex,SHARE,i think that i am playing a bot and this doesn't matter,SHARE,Both /u/hflex and /u/i think that i am playing a bot and this doesn't matter share $500 for trusting one another.
rent-a-kitten,SHARE,jntlmeow,SHARE,Both /u/rent-a-kitten and /u/jntlmeow share $500 for trusting one another.
y,SHARE,cocochica33,STEAL,"/u/cocochica33 wins $1000 for stealing from /u/y, who gets nothing."
cloneman95,STEAL,toastiify,SHARE,"/u/cloneman95 wins $1000 for stealing from /u/toastiify, who gets nothing."
mycardboardsword,STEAL,twitchy775,SHARE,"/u/mycardboardsword wins $1000 for stealing from /u/twitchy775, who gets nothing."
melonlord009,SHARE,metroid_slayer,SHARE,Both /u/melonlord009 and /u/metroid_slayer share $500 for trusting one another.
xor50,SHARE,bobito5,SHARE,Both /u/xor50 and /u/bobito5 share $500 for trusting one another.
