a.user,a.choice,b.user,b.choice,end
henricy,Hit the gas,jompeter01,Swerve,/u/henricy gets to call /u/jompeter01 a chicken.
endemiclegacy,Hit the gas,ispent10minutes,Hit the gas,Both /u/endemiclegacy and /u/ispent10minutes crash and die.
ninchnate,Swerve,_eggpiant_,Hit the gas,/u/_eggpiant_ gets to call /u/ninchnate a chicken.
azazelsheep,Hit the gas,xtarification,Swerve,/u/azazelsheep gets to call /u/xtarification a chicken.
jmcalla,Swerve,ssabeth,Hit the gas,/u/ssabeth gets to call /u/jmcalla a chicken.
amazinglyawesomename,Swerve,lycan_trophy,Swerve,Both /u/amazinglyawesomename and /u/lycan_trophy safely swerve.
xaplostras,Swerve,sir_plus,Swerve,Both /u/xaplostras and /u/sir_plus safely swerve.
hunter5226,Swerve,fallon758,Swerve,Both /u/hunter5226 and /u/fallon758 safely swerve.
jacobepping,Hit the gas,crunchyapples,Swerve,/u/jacobepping gets to call /u/crunchyapples a chicken.
flyingmonkeyssaymoo,Swerve,graviton_beam,Swerve,Both /u/flyingmonkeyssaymoo and /u/graviton_beam safely swerve.
legolaslegolass,Hit the gas,milliebirdie,Swerve,/u/legolaslegolass gets to call /u/milliebirdie a chicken.
cocochica33,Swerve,leninacrowne94,Swerve,Both /u/cocochica33 and /u/leninacrowne94 safely swerve.
marceloardz,Hit the gas,anaglypta,Swerve,/u/marceloardz gets to call /u/anaglypta a chicken.
spectral-k,Swerve,iminabox,Swerve,Both /u/spectral-k and /u/iminabox safely swerve.
kanimaki,Swerve,vukrum,Swerve,Both /u/kanimaki and /u/vukrum safely swerve.
4rewq,Hit the gas,perntdoast,Hit the gas,Both /u/4rewq and /u/perntdoast crash and die.
zackattackz,Swerve,kashthealien,Swerve,Both /u/zackattackz and /u/kashthealien safely swerve.
strattonschippers,Swerve,unitconversion,Swerve,Both /u/strattonschippers and /u/unitconversion safely swerve.
pricelesshats,Swerve,joejoemojo,Swerve,Both /u/pricelesshats and /u/joejoemojo safely swerve.
gummybee,Swerve,briannasaurusrex92,Swerve,Both /u/gummybee and /u/briannasaurusrex92 safely swerve.
spacejunk444,Swerve,bwananabwanana,Hit the gas,/u/bwananabwanana gets to call /u/spacejunk444 a chicken.
numberlesswake,Swerve,luncos,Swerve,Both /u/numberlesswake and /u/luncos safely swerve.
azurefishnets,Swerve,imlikesocool,Swerve,Both /u/azurefishnets and /u/imlikesocool safely swerve.
backdoor_sliders,Hit the gas,lightraie,Swerve,/u/backdoor_sliders gets to call /u/lightraie a chicken.
swagmasterrs,Swerve,sammyterrybelzer,Hit the gas,/u/sammyterrybelzer gets to call /u/swagmasterrs a chicken.
femma,Hit the gas,scubaduck,Hit the gas,Both /u/femma and /u/scubaduck crash and die.
youcalled911forthat,Hit the gas,a_dam_ste,Swerve,/u/youcalled911forthat gets to call /u/a_dam_ste a chicken.
vanarn,Hit the gas,emcee_squared,Swerve,/u/vanarn gets to call /u/emcee_squared a chicken.
crocostix,Hit the gas,dagsaroni,Swerve,/u/crocostix gets to call /u/dagsaroni a chicken.
unicornbomber,Hit the gas,vowelss,Swerve,/u/unicornbomber gets to call /u/vowelss a chicken.
15goku,Swerve,bizarrefetalkoala,Swerve,Both /u/15goku and /u/bizarrefetalkoala safely swerve.
soupnugget,Swerve,boltkey,Swerve,Both /u/soupnugget and /u/boltkey safely swerve.
hypergraphia,Swerve,onlytoask,Swerve,Both /u/hypergraphia and /u/onlytoask safely swerve.
cyberrubyfox,Swerve,sbs401,Hit the gas,/u/sbs401 gets to call /u/cyberrubyfox a chicken.
christmascheer23,Hit the gas,dragonheart000,Hit the gas,Both /u/christmascheer23 and /u/dragonheart000 crash and die.
-top-chicken-,Swerve,mm1491,Swerve,Both /u/-top-chicken- and /u/mm1491 safely swerve.
jeray2000,Swerve,scholar_requesting,Swerve,Both /u/jeray2000 and /u/scholar_requesting safely swerve.
newme274,Swerve,natevh1,Swerve,Both /u/newme274 and /u/natevh1 safely swerve.
