a.user|a.choice|b.user|b.choice|end
elitepenguin4|STEAL|anotherturingmachine|SHARE|/u/elitepenguin4 wins $1000 for stealing from /u/anotherturingmachine, who gets nothing.
nat-cat|SHARE|hypergraphia|SHARE|Both /u/nat-cat and /u/hypergraphia share $500 for trusting one another.
andydandy162|SHARE|mentos68|SHARE|Both /u/andydandy162 and /u/mentos68 share $500 for trusting one another.
thomas6785|STEAL|skysheena|SHARE|/u/thomas6785 wins $1000 for stealing from /u/skysheena, who gets nothing.
anesma|SHARE|jslev9|STEAL|/u/jslev9 wins $1000 for stealing from /u/anesma, who gets nothing.
gresskarpai|SHARE|toastiify|SHARE|Both /u/gresskarpai and /u/toastiify share $500 for trusting one another.
johnnysmart|SHARE|lifeofchrome|SHARE|Both /u/johnnysmart and /u/lifeofchrome share $500 for trusting one another.
a5yl|SHARE|p0tet|SHARE|Both /u/a5yl and /u/p0tet share $500 for trusting one another.
nosdarb|SHARE|xaplostras|SHARE|Both /u/nosdarb and /u/xaplostras share $500 for trusting one another.
adaminskif|SHARE|schutterke|STEAL|/u/schutterke wins $1000 for stealing from /u/adaminskif, who gets nothing.
sofiboy|SHARE|endemiclegacy|SHARE|Both /u/sofiboy and /u/endemiclegacy share $500 for trusting one another.
idon'twanna|SHARE|pohtahtohg|SHARE|Both /u/idon'twanna and /u/pohtahtohg share $500 for trusting one another.
nephdaddy8|SHARE|yoavsnake|STEAL|/u/yoavsnake wins $1000 for stealing from /u/nephdaddy8, who gets nothing.
backdoor_sliders|STEAL|hysteriacthesecond|SHARE|/u/backdoor_sliders wins $1000 for stealing from /u/hysteriacthesecond, who gets nothing.
ross231|SHARE|clony85|SHARE|Both /u/ross231 and /u/clony85 share $500 for trusting one another.
lost-in-neverland|SHARE|mrs_schwalls|SHARE|Both /u/lost-in-neverland and /u/mrs_schwalls share $500 for trusting one another.
highog|SHARE|goatcrew|SHARE|Both /u/highog and /u/goatcrew share $500 for trusting one another.
k_a_r_m_a_r_a|STEAL|mongooset|STEAL|Both /u/k_a_r_m_a_r_a and /u/mongooset get nothing.
